"person_tmdbId","movie_movieId","role"
"138","70","Richard Gecko"
"1037","70","Jacob Fuller"
"3196","70","Kate Fuller"
"13021","71","Max Kirkpatrick"
"4443","71","Lieutenant Meyerson"
"782","71","Colonel Ilya Kazak"
"33665","71","Kate McQueen"
"52419","72","Grover"
"1052883","72","Professor"
"21967","72","Pete"
"10130","72","Gail"
"3829","73","Henri Fortin / Jean Valjean"
"35211","73","André Ziman"
"63895","73","Elise Ziman"
"141054","73","La fille Ziman"
"2224","74","Lewis Farrell"
"31140","74","Lisa Walker"
"16851","74","Danny"
"21063","74","Kim / Pamela Segall"
"27811","76","Colonel Hendricksson"
"56979","76","Ace Jefferson"
"56978","76","Jessica"
"56977","76","Becker"
"582020","77","Himself"
"2362269","77",""
"109142","77","Herself"
"938895","77","Herself"
"514","78","Freddy Gale"
"5657","78","Mary"
"52","78","John Booth"
"32","78","Jojo"
"7447","79","Teacher"
"3416","79","Annie Laird"
"8256","79","Juliet"
"24045","79","Oliver Laird"
"1387299","80","Old Lady"
"1034640","80","Razieh"
"1034642","80","Ali"
"1034643","80","Mother"
"1271","81",""
"5502","81","Easy Wind"
"1062","81","Pieces"
"4520","81","Franchise"
"13509","82","Thérèse"
"13507","82","Danielle"
"13508","82","Allegonde"
"13506","82","Antonia"
"19739","83",""
"12974","83","Uncle Melvin"
"119598","83",""
"157439","83","Ma Pearl"
"990400","84","Oona Hart"
"69697","84","Jake Axelrod"
"22137","84","Helena Mora"
"175081","84","Suzanne"
"14326","85","Eugenia Alabaster Adamson"
"5470","85","Matty Crompton"
"40900","85","William Adamson"
"55037","85","Sir Harald Alabaster"
"1229","86","Christopher ""Skipper"" Sheldon"
"24965","86","Chuck Gieg"
"47879","86","McCrea"
"6692","86","Alice Sheldon"
"1206","87","Robert Grant"
"6450","87","Mrs. Dubrow"
"4757","87","Lord Rutledge"
"27564","87","Kyle Grant"
"58198","88","Mike Donnelly"
"4003","88","Governor Tracy"
"21561","88","Al Donnelly"
"60950","88","Steve Dodds"
"4690","89","Mr. Smith"
"21365","89","Lynn Watson"
"17764","89","Hucy"
"85","89","Gene Watson"
"1204","92","Mary Reilly"
"47722","92","Mr. Poole"
"5658","92","Mary’s Father"
"6949","92","Dr. Henry Jekyll / Edward Hyde"
"776","93","Maximillian | Pauly | Guido"
"66554","93","Julius Jones"
"9780","93","Detective Rita Veder"
"32486","93","Detective Justice"
"49425","94","Tracy Stover"
"2876","94","Tommy ""Birdman"" Rowland"
"34485","94","Darian Smalls"
"11315","94","Michael ""Mo"" Morris"
"8891","95","Maj. Vic 'Deak' Deakins"
"2224","95","Capt. Riley Hale"
"20767","95","Terry Carmichael"
"18792","95","Colonel Max Wilkins"
"32357","96","Tom Newman"
"29859","96","Henry"
"13637","96","Margaretta"
"237613","96","Molly"
"1925","97","Vinz"
"5420","97","Abdel"
"5419","97","Saïd"
"5418","97","Hubert"
"30087","98","Be Bop"
"28848","98","Tommy"
"9642","98","Billy"
"41381","98","Jo"
"92032","99","Herself"
"92561","99","Narrator"
"74954","99","Actor/Herself"
"1144665","99","Herself"
"1158","100","Mayor John Pappas"
"3036","100","Deputy Mayor Kevin Calhoun"
"2233","100","Marybeth Cogan"
"1004","100","Frank Anselmo"
"887","101","Dignan"
"36422","101","Anthony Adams"
"42006","101","Dr. Nichols"
"1117323","101","Grace"
"923","102","Jack Tramonte"
"3234","102","Inga Gunther"
"8984","102","Whitman Crawford"
"14","102","Martha Alston"
"11477","103","Dr. David Krane"
"9625","103","Dr. Martha Briggs"
"9979","103","Don Bresler"
"4443","103","Stewart Gleick"
"19292","104","Happy Gilmore"
"4443","104","Shooter McGavin"
"11794","104","Grandma Gilmore"
"31171","104","Virginia Venit"
"190","105","Robert Kincaid"
"5064","105","Francesca Johnson"
"6907","105","Caroline Johnson"
"10379","105","Michael Johnson"
"13472","107","Long John Silver"
"9188","107","Billy Bones"
"12094","107","Mrs. Bluveridge"
"19996","107","Jim Hawkins"
"937034","108","Herself"
"103057","108","Himself"
"937035","108","Himself"
"50841","108","Herself"
"2465","110","Young William Wallace"
"2473","110","John Wallace"
"2472","110","Malcolm Wallace"
"2467","110","Campbell"
"1041","111","Concession Girl"
"1043","111","Policeman at rally"
"1042","111","Angry Black Man"
"2561","111","Melio, Delicatessen Owner"
"44922","112","Uncle Bill"
"44917","112","Elaine"
"10875","112","Nancy"
"18897","112","Keung"
"5064","113","Dr. Carolyn Ryan"
"121955","113","Judith Ryan"
"820","113","Jacob Ryan"
"3896","113","Ben Ryan"
"1283","114","Margaret MacNeil"
"198287","114",""
"19901","114","Neil Currie"
"18794","114","Catherine MacNeil"
"11181","116","Narration (voice)"
"515","116","Diary Readings (voice)"
"1420227","116",""
"81023","117","Young Graham"
"81024","117","Fred"
"53367","117","Molly"
"5312","117","Graham Young"
"7399","118","Bwick Elias"
"520","118","Lucy Ackerman"
"68185","118","Joe MacGonaughgill"
"5590","118","Jane Lindquist"
"1271","119",""
"10768","119","Laura"
"1903","119","Lou Perilli"
"532","119","Eddie Agopian"
"946161","121","Mike Finn"
"1195879","121","Detective Noseworthy"
"198643","121","Kevin Reevey"
"15319","121","Brother Peter Lavin"
"776","122","Marcus Graham"
"4587","122","Angela Lewis"
"59153","122","Jacqueline 'Jackie / Jack' Broyer"
"58563","122","Gerard Jackson"
"1337","123","Policeman 663"
"56830","123","Woman in blonde wig"
"43661","123","He Zhiwu, Cop 223"
"12671","123","Faye"
"2166","124","Joe Morelli (Giuseppe Romolo)"
"592480","124","Brigadier Mastropaolo"
"258039","124","Beata"
"14151","124","Mute"
"21277","125","Pearl Coplin"
"4939","125","Tina Kalb"
"4687","125","Nancy Coplin"
"7399","125","Mel Coplin"
"70851","126","Slip"
"57236","126","Nicole"
"134063","126","Mookie"
"18259","126","Bastian Bux"
"2694","129","Charlie Dunlap"
"77133","129","Ruby"
"8256","129","Amy"
"1230","129","Alan Davenport"
"87707","130","Andrew"
"3711","130","Mae"
"196180","130","Ellie"
"143151","130","Angela"
"5168","131","Jack Kelly"
"140230","131","Handy Paige"
"17024","131","Senior Customs Officer"
"567972","131","Frank Bois"
"16560","132","David Corelli"
"9046","132","Matt Gavin"
"9625","132","Katrina Gavin"
"16554","132","Governor Edwards"
"34485","135","Lt. Emily Lake"
"7090","135","Lt. Commander Thomas ""Tom"" Dodge"
"5048","135","Lt. Howard"
"60949","135","Executive Officer Lt. Martin T. ""Marty"" Pascal"
"45389","137","Vivian"
"45390","137","Mike Miller"
"45387","137","Tammy Shafer"
"45388","137","Ken Shafer"
"4135","140","Warren Justice"
"1160","140","Tally Atwater"
"8893","140","Marcia McGrath"
"3266","140","Bucky Terranova"
"78729","141","Albert Goldman"
"1902","141","Louise Keeley"
"2157","141","Armand Goldman"
"193","141","Sen. Kevin Keeley"
"86308","144","Susan"
"21398","144","Audrey"
"86309","144","Mrs McMullen"
"86310","144","Molly McMullen"
"87360","145","Car thief"
"9313","145","Girl Decoy"
"78029","145","Detective Marcus Burnett"
"2888","145","Detective Mike Lowrey"
"1181794","146","Chu"
"32747","146","Michael Tyler"
"108211","146","Ling"
"108210","146","Ryan Tyler"
"6193","147","Jim Carroll"
"60142","147",""
"11478","147","Jim's Mother"
"65395","147","Pedro"
"4566","148","P.L. O'Hara"
"2629","148","Uncle Vernon"
"95789","148","Stella"
"3291","148","Meredith Potter"
"17882","149","Isabelle"
"42993","149","Thomas Ludens"
"17257","149","Sofia Ludens"
"109144","149","Edward, Jaque's Accountant"
"2053","150","Fred Haise"
"4724","150","Jack Swigert"
"31","150","Jim Lovell"
"33","150","Ken Mattingly"
"3896","151","Robert Roy MacGregor (Rob Roy)"
"4431","151","Mary MacGregor"
"5049","151","John Graham (Marquis of Montrose)"
"3129","151","Archibald Cunningham"
"3127","152","Kathleen Conklin"
"4690","152","Peina"
"18750","152","Casanova"
"36190","152","Jean"
"2227","153","Dr. Chase Meridian"
"206","153","Edward Nygma / The Riddler"
"2176","153","Harvey Dent / Two-Face"
"5576","153","Bruce Wayne / Batman"
"50","154","Séverine Serizy"
"9762","154","Pierre Serizy"
"3784","154","Henri Husson"
"9763","154","Madame Anais"
"8978","155","Jeremy Watt"
"4687","155","Laura Bowman"
"3910","155","Andy Bowman"
"19668","155","U Aung Ko"
"521","156","Pete Maloney"
"46394","156","Violet"
"46393","156","Dot"
"46392","156","Man with Strange Glasses"
"7180","157","Sheriff Bud B. Boomer"
"21278","157","U.S. President"
"24203","157","Deputy Honey"
"7166","157","Stuart Smiley, National Security Advisor"
"88599","158","Nicky"
"14702","158","Carrigan Crittenden"
"56057","158","Casper (McFadden) (voice)"
"147496","158","Andreas"
"1037","159","Det. Rocco Klein"
"18792","159","Rodney Little"
"1241","159","Det. Larry Mazilli"
"327","159","Ronald 'Strike' Dunham"
"13472","160","Herkermer Homolka"
"350","160","Dr. Karen Ross"
"21043","160","Dr. Peter Elliot"
"8874","160","Captain Munro Kelly"
"5292","161","Lt. Commander Ron Hunter"
"193","161","Captain Frank Ramsey"
"13525","161","Lt. Roy Zimmer, USS Alabama Communications Officer"
"10477","161","Chief of the Boat"
"95663","162","Herself"
"73033","162","Himself"
"1369236","162","Himself"
"1369235","162","Himself"
"3131","163","El Mariachi"
"11159","163","Short Bartender"
"22462","163","Bucho"
"3136","163","Carolina"
"5292","164","Easy Rawlins"
"3130","164","Daphne Monet"
"3197","164","DeWitt Albright"
"1896","164","Mouse Alexander"
"62","165","John McClane"
"2231","165","Zeus Carver"
"16940","165","Simon Peter Gruber"
"6804","165","Joe Lambert"
"16850","166","Amy Blue"
"51670","166","Xavier Red"
"157847","166","Peanut"
"1582","166","Jordan White"
"6368","167","Bella Ford"
"17648","167","Jedd Wainwright"
"22169","167","Ben Wainwright"
"9138","167","Mrs. Wainwright"
"738","168","King Arthur"
"15887","168","Guinevere"
"1205","168","Lancelot"
"29068","168","Prince Malagant"
"17918","169","Elvis"
"8184","169","Nadine"
"18260","169","Randolph Johnson"
"18259","169","Jesse"
"17772","170","Joey Pardella"
"9012","170","Dade Murphy / 'Crash Override' / 'Zero Cool'"
"26457","170","Emmanuel Goldstein / 'Cereal Killer'"
"11701","170","Kate Libby / 'Acid Burn'"
"2387","171","Sterling"
"42722","171","Steve Howard"
"6106","171","Jeffrey"
"76526","171",""
"3317","172","Takahashi"
"6384","172","Johnny Mnemonic"
"21411","172","J-Bone"
"2133","172","Jane"
"920","173","Judge Griffin"
"16483","173","Judge Joseph Dredd"
"60949","173","Herman 'Fergee' Ferguson"
"23346","173","Rico"
"64998","174","Tommy Collins"
"1535","174","Harry"
"2283","174","Frank"
"13445","174","Monica"
"57387","175","Telly"
"131299","175","Deli Owner"
"57388","175","Girl #1"
"57389","175","Casper"
"884","176","Nick Reve"
"82220","176","Wanda"
"20212","176","Wolf"
"2229","176","Nicole Springer"
"56441","177","Jennifer Desiderio"
"56440","177","Caspar Quaid"
"18916","177","Philip Swann"
"2154","177","Harry D'Amour"
"13638","178","David"
"73296","178","Candy"
"78685","178","Bernie"
"18658","178","Benita"
"5577","179","Matt Leland"
"175540","179","Duncan"
"69597","179","Casey Roberts"
"26457","179","Eric"
"19144","180","Rene Mosier"
"11662","180","Brodie Bruce"
"23646","180","T.S. Quint"
"4174","180","Brandi Svenning"
"536099","181","Aisha Campbell / Yellow Ranger"
"50096","181","Adam Park / Black Ranger"
"56897","181","Rocky DeSantos / Red Ranger"
"50098","181","Tommy Oliver / White Ranger"
"102754","183","Karen Hughes"
"88519","183","Andy Clarke"
"1090481","183","Larsen"
"545828","183","Billy Hughes"
"17257","184","Nadja"
"1337469","184",""
"27176","184","Renfield"
"8949","184","Dracula / Dr. Van Helsing"
"18277","185","Angela Bennett/Ruth Marx"
"6930","185","Mrs. Bennett"
"18325","185","Jack Devlin"
"18326","185","Dr. Alan Champion"
"3291","186","Samuel Faulkner"
"3234","186","Gail Dwyer"
"74036","186","Marty Dwyer"
"1231","186","Rebecca Taylor"
"8695","187","Leo"
"176628","187","Derrick"
"56694","187","Rene"
"7489","187","Mary"
"4690","188","Gabriel"
"7036","188","Simon"
"12519","188","Katherine Henley"
"13550","188","Thomas Daggett"
"18248","189","Pooty"
"349","189","Lloyd"
"3417","189","Tom"
"12021","189","Rachel"
"1231","190","Carol White"
"1397377","190","Aerobics Instructor"
"14329","190","Mover"
"3982","190","Greg White"
"3416","191","Hester Prynne"
"3087","191","Roger Chillingworth"
"64","191","Rev. Arthur Dimmesdale"
"65543","191","Mituba"
"2683","193","James Smith"
"6677","193","Zack Carey"
"11150","193","Cristal Connors"
"19189","193","Nomi Malone"
"4808","194","Tommy"
"46395","194","Dennis"
"10963","194","Jerry"
"1037","194","Augustus 'Auggie' Wren"
"1204","195","Grace King Bichon"
"3087","195","Wyly King"
"6065","195","Eddie Bichon"
"4800","195","Georgia King"
"658","196","Dr. Stephen Arden"
"147","196","Preston Lennox"
"2178","196","Dan Smithson, Empath"
"2282","196","Xavier Fitch"
"5469","198","Lenny Nero"
"9780","198","Lornette 'Mace' Mason"
"3196","198","Faith Justin"
"3197","198","Max Peltier"
"50","199","Geneviève Emery"
"46936","199","Roland Cassard"
"28608","199","Madame Emery"
"5476","199","Guy"
"30613","200","John Netherwood"
"589","200","Leann Netherwood"
"147119","200","Russell Clifton"
"20005","200","Dana Clifton"
"723","201","Jack McCloud"
"1542806","201",""
"1161","201","Jeanne Holman"
"4787","201","Tom Holman"
"11207","202","Paul Verlaine"
"6193","202","Arthur Rimbaud"
"19068","202","Isabelle Rimbaud"
"40938","202","Mathilde Maute"
"10814","203","Noxeema Jackson"
"8893","203","Carol Ann"
"723","203","Vida Boheme"
"5723","203","Chi-Chi Rodriguez"
"10866","204","Travis Dane"
"5616","204","Penn"
"25541","204","Sarah Ryback"
"23880","204","Casey Ryback"
"1533","205","Selma Lidz"
"50807","205","Danny Lidz"
"1241","205","Sid Lidz"
"7868","205","Arthur Lidz"
"56696","206","himself"
"46393","206","Herself"
"3664","206","herself"
"1799764","206",""
"6384","207","Paul Sutton"
"3753","207","Alberto Aragón"
"5401","207","Don Pedro Aragón"
"37946","207","Victoria Aragón"
"1269","208","Mariner"
"49832","208","Enforcer"
"3432","208","Gatesman"
"59350","208",""
"33162","209","Thaddeus Thomas"
"8891","209","Louis Pinnock"
"6473","209","Marsha Pinnock"
"13307","209","Megan Thomas"
"21245","211","Laura Crocker-Harris"
"3926","211","Andrew Crocker-Harris"
"6104","211","Tom Gilbert"
"8654","211","Frank Hunter"
"82796","213","Col. Sergei Petrovich Kotov"
"14593","213",""
"500625","213","Nadya Kotova"
"82795","213","Dimitri (Mitya)"
"1641","214","Anne"
"113758","214","Zamira"
"136170","214","Kiril"
"1118","214",""
"571","215","Wife on Train"
"1146","215","Céline"
"569","215","Jesse"
"572","215","Husband on Train"
"20751","216","Veronica Vaughn"
"19292","216","Billy Madison"
"7333","216","Brian Madison"
"11367","216","Eric Gordon"
"5588","217","Jennifer"
"22131","217","Harry Tucker"
"23646","217","Jack"
"23975","217","Dolly Tucker"
"2395","218","Jane Deluca"
"69597","218","Holly Pulchik-Lincoln"
"18248","218","Robin"
"10297","218","Abe Lincoln"
"4787","219","Dexter"
"18750","219","Linda"
"51214","219","Erik"
"51215","219","Tyler"
"27993","220","John Reilly"
"80291","220","Giorgio"
"27995","220","Susan Reilly"
"105645","220","Rebecca Reilly"
"5577","222","Jack Foley"
"9825","222","Nan Mahon"
"6613","222","Bernadette 'Benny' Hogan"
"89021","222","Eve Malone"
"19302","223","Jay"
"23629","223","Dante Hicks"
"23630","223","Randal Graves"
"23631","223","Veronica Loughran"
"85","224","Don Juan DeMarco"
"3084","224","Dr. Jack Mickler"
"6450","224","Marilyn Mickler"
"19888","224","Dona Ana"
"3392","225","Tom Sanders"
"55636","225","Bob Garvin"
"3416","225","Meredith Johnson"
"6692","225","Susan Hendler"
"10814","227","Pete Nessip"
"2048","227","Ty Moncrief"
"2169","227","Earl Leedy"
"20759","227","Jessie Crossmann"
"6474","228","Thoreau"
"32597","228","Julian"
"18331","228","Lucille"
"138","228","Destiny"
"2282","229","Dr. Roberto Miranda"
"10205","229","Paulina Escobar"
"14344","229","Gerardo Escobar"
"65537","229","Dr. Miranda's Wife"
"8534","230","Dolores Claiborne"
"33448","230","Vera Donovan"
"290","230","John Mackey"
"10431","230","Selena St. George"
"206","231","Lloyd Christmas"
"5170","231","Joe Mentaliano"
"8447","231","Harry Dunne"
"34485","231","Mary Swanson"
"1623","232","Chu"
"65352","232","Jia-Ning"
"1485122","232",""
"2577253","232",""
"58805","233","Inspector"
"123319","233","Customs Officer"
"20173","233","Thomas"
"123320","233","Man in Taxi"
"65002","234","Lisa Emerson"
"707","234","Fred Lavery"
"24589","234","Elliot Slater"
"12929","234","Sheila Kingston"
"520","235","Dolores Fuller"
"2641","235","Bela Lugosi"
"85","235","Ed Wood"
"4687","235","Kathy O'Hara"
"5344","236","Kate"
"1003","236","Inspector Jean-Paul Cardon"
"16327","236","Charlie"
"8945","236","Luc Teyssier"
"7904","237","Mickey Gordon"
"3266","237","Andy"
"26513","237","Ellen Andrews Gordon"
"65528","237","Liz"
"17772","238","Angus McCormick"
"13920","238","Katherine McCormick"
"19453","238","John Gale"
"52374","238","John McCormick"
"84213","239","Goofy Goof (voice)"
"93663","239","Roxanne (voice)"
"61983","239","Max Goof (voice)"
"12077","239","Peter Pete (voice)"
"4785","240","Hatch Harrison"
"5588","240","Regina"
"77133","240","Lindsey"
"23958","240","Vassago"
"2231","241","Rumbo (voice)"
"18331","241","Carol Johnson"
"8654","241","Thomas P. Johnson / Voice of Fluke"
"7036","241","Jeff Newman"
"16240","242","Carlo Broschi (Farinelli)"
"27392","242","Riccardo Broschi"
"1924","242","George Frideric Handel"
"39195","242","Alexandra"
"1932601","243","Luke MaCallister"
"174125","243","Jessica Royce"
"1932602","243","Jinnie Sue MaCallister"
"1932603","243","Gilbert Sipes"
"44676","244","Gumby / Claybert / Fatbuckle / Kapp (voice) (as Charles Farrington)"
"2083671","244","Thinbuckle (voice)"
"1248729","244","Goo (voice)"
"129534","244","Pokey / Prickle / Gumbo (voice)"
"44616","245","Coroner"
"161537","245","U.S. Marshall"
"12312","245","Watch Commander Clarence Massey"
"58813","245","District Attorney Ira Kern"
"1224931","246",""
"122449","246","Narrator"
"134120","246","Himself"
"134119","246","Himself"
"204","247","Juliet Hulme"
"15091","247","Pauline Parker Rieper"
"15094","247","Hilda Hulme"
"15092","247","Honorah Parker Rieper"
"14104","248","Gary Young"
"57119","248","Kevin Franklin"
"42059","248","Brooke Young"
"387","248","Emily Young"
"6588","249","Anna Marie Erdödy"
"1924","249","Anton Felix Schindler"
"64","249","Ludwig van Beethoven"
"55851","249","Johanna Reiss"
"2134254","250","Nicholas"
"2134255","250","Sam"
"20818","250","Kenny"
"45864","250","Cody"
"11389","251","Kinjo"
"38559","251","Paul Racine"
"81108","251","Takeda"
"6720","251","Kirina"
"504","252","Ed Walters"
"5344","252","Catherine Boyd"
"6837","252","Albert Einstein"
"23708","252","Kurt Gödel"
"500","253","Lestat de Lioncourt"
"287","253","Louis de Pointe du Lac"
"2224","253","Daniel Malloy"
"1407747","253",""
"21245","254","Maria Cosway"
"12052","254","Patsy Jefferson"
"9030","254","Sally Hemings"
"1733","254","Thomas Jefferson"
"21282","255","Don 'Uncle Freddy' Frederico"
"1903","255","Ernie Lazarro"
"83480","255","Kamal"
"77761","255","Himself / Frank 'Rubberneck' Rizzo"
"1100","256","Dr. Alex Hesse"
"518","256","Dr. Larry Arbogast"
"7056","256","Dr. Diana Reddin"
"8924","256","Noah Banes"
"738","257","Paul Armstrong"
"2975","257","Sheriff Tanny Brown"
"56871","257","Bobby Earl Ferguson"
"689","257","Laurie Armstrong"
"21403","258","Calvin Fuller"
"24618","258","Princess Katey"
"14324","258","King Arthur"
