"movieId","title","url","runtime","revenue","budget","imdbRating","released","countries","languages","plot","imdbVotes","imdbId","year","poster","tmdbId"
"19","Ace Ventura: When Nature Calls","https://themoviedb.org/movie/9273","90","212385533","30000000","6.3","1995-11-10","[""USA""]","[""English""]","Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.","155200","0112281","1995","https://image.tmdb.org/t/p/w440_and_h660_face/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg","9273"
"20","Money Train","https://themoviedb.org/movie/11517","110","77224232","68000000","5.6","1995-11-22","[""USA""]","[""English""]","A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","31488","0113845","1995","https://image.tmdb.org/t/p/w440_and_h660_face/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg","11517"
"21","Get Shorty","https://themoviedb.org/movie/8012","105","115101622","30250000","6.9","1995-10-20","[""USA""]","[""English""]","A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job.","61591","0113161","1995","https://image.tmdb.org/t/p/w440_and_h660_face/5XSVAyHmTCFOWaqEQ0LUHh3yssB.jpg","8012"
"22","Copycat","https://themoviedb.org/movie/1710","123","","","6.6","1995-10-27","[""USA""]","[""English""]","An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.","41335","0112722","1995","https://image.tmdb.org/t/p/w440_and_h660_face/sch1NNy1q6O50qaUG0MqoU8z9GD.jpg","1710"
"23","Assassins","https://themoviedb.org/movie/9691","132","30303072","50000000","6.3","1995-10-06","[""France"","" USA""]","[""English"","" Dutch"","" Spanish""]","Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.","60996","0112401","1995","https://image.tmdb.org/t/p/w440_and_h660_face/5Ldj3h0ReTsKlKLyLxaD3mW2ZIQ.jpg","9691"
"24","Powder","https://themoviedb.org/movie/12665","111","","","6.5","1995-10-27","[""USA""]","[""English""]","A young bald albino boy with unique powers shakes up the rural community he lives in.","23715","0114168","1995","https://image.tmdb.org/t/p/w440_and_h660_face/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg","12665"
"25","Leaving Las Vegas","https://themoviedb.org/movie/451","111","49800000","3600000","7.6","1996-02-09","[""USA""]","[""English"","" Russian""]","Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","91469","0113627","1995","https://image.tmdb.org/t/p/w440_and_h660_face/rl5ROyXACDkiSbO6PnKK6Onnw26.jpg","451"
"26","Othello","https://themoviedb.org/movie/16420","123","","","7.0","1996-01-19","[""USA"","" UK""]","[""English""]","The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.","7241","0114057","1995","https://image.tmdb.org/t/p/w440_and_h660_face/6u14UkDVPUVquXkZ5Hgb7UIEvUE.jpg","16420"
"27","Now and Then","https://themoviedb.org/movie/9263","100","27400000","12000000","6.7","1995-10-20","[""USA""]","[""English""]","Four 12-year-old girls grow up together during an eventful small-town summer in 1970.","21002","0114011","1995","https://image.tmdb.org/t/p/w440_and_h660_face/yQ8xP1WOfatqgUp4e3X8n73itJc.jpg","9263"
"28","Persuasion","https://themoviedb.org/movie/17015","107","","","7.7","1995-09-27","[""UK"","" USA"","" France""]","[""English""]","Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...","8758","0114117","1995","https://image.tmdb.org/t/p/w440_and_h660_face/tYOFCtgLb4hfuwhXKBWwAobWhwS.jpg","17015"
"29","City of Lost Children, The (Cité des enfants perdus, La)","https://themoviedb.org/movie/902","112","1738611","18000000","7.7","1995-12-15","[""France"","" Germany"","" Spain""]","[""French"","" Cantonese""]","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","54490","0112682","1995","https://image.tmdb.org/t/p/w440_and_h660_face/xQrp6wxaNMXVd259235d1X0LBsw.jpg","902"
"30","Shanghai Triad (Yao a yao yao dao waipo qiao)","https://themoviedb.org/movie/37557","108","","2300000","7.2","1995-12-22","[""France"","" China""]","[""Mandarin""]","A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.","4140","0115012","1995","https://image.tmdb.org/t/p/w440_and_h660_face/tzG1UxUSfPACREjgBrsPDRUvneH.jpg","37557"
"31","Dangerous Minds","https://themoviedb.org/movie/9909","99","179519401","23000000","6.4","1995-08-11","[""USA""]","[""English""]","An ex-Marine turned teacher struggles to connect with her students in an inner city school.","37045","0112792","1995","https://image.tmdb.org/t/p/w440_and_h660_face/y2iKziYm1rG5AWfL3el7HgxhoIp.jpg","9909"
"32","Twelve Monkeys (a.k.a. 12 Monkeys)","https://themoviedb.org/movie/63","129","168840000","29500000","8.1","1996-01-05","[""USA""]","[""English"","" French""]","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","446779","0114746","1995","https://image.tmdb.org/t/p/w440_and_h660_face/kKoG0hXBmBbkDnJYhhHisdin73W.jpg","63"
"34","Babe","https://themoviedb.org/movie/9598","91","254134910","30000000","6.8","1995-08-04","[""Australia"","" USA""]","[""English""]","Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.","91870","0112431","1995","https://image.tmdb.org/t/p/w440_and_h660_face/bjDIp0b5TQRx4kF8l9TKeUANLTp.jpg","9598"
"35","Carrington","https://themoviedb.org/movie/47018","121","","","6.9","1995-11-10","[""UK"","" France""]","[""English""]","The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century.","4351","0112637","1995","https://image.tmdb.org/t/p/w440_and_h660_face/8NmeBTkC4UQa8XT2GGsBN2R8Bqo.jpg","47018"
"36","Dead Man Walking","https://themoviedb.org/movie/687","122","39363635","11000000","7.6","1996-02-02","[""UK"","" USA""]","[""English""]","A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.","71231","0112818","1995","https://image.tmdb.org/t/p/w440_and_h660_face/wQmmJi5ypfHH2boXrQBmsep7qb2.jpg","687"
"37","Across the Sea of Time","https://themoviedb.org/movie/139405","51","16015639","","6.6","1995-10-20","[""USA""]","[""English"","" Russian""]","A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...","203","0112286","1995","","139405"
"38","It Takes Two","https://themoviedb.org/movie/33689","101","","","5.7","1995-11-17","[""USA""]","[""English""]","Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from ...","14602","0113442","1995","https://image.tmdb.org/t/p/w440_and_h660_face/sdes5TrRbymELYLG85YIxmFb1OP.jpg","33689"
"39","Clueless","https://themoviedb.org/movie/9603","97","56631572","12000000","6.8","1995-07-19","[""USA""]","[""English"","" Spanish""]","A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.","116376","0112697","1995","https://image.tmdb.org/t/p/w440_and_h660_face/71RW4lkES2Dt7vSLSXvekGYNskG.jpg","9603"
"40","Cry, the Beloved Country","https://themoviedb.org/movie/34615","106","676525","","6.9","1995-12-15","[""South Africa"","" USA""]","[""English""]","A South-African preacher goes to search for his wayward son who has committed a crime in the big city.","1399","0112749","1995","https://image.tmdb.org/t/p/w440_and_h660_face/kGPsBswFOCjiGzXq4OZwzEAAODa.jpg","34615"
"41","Richard III","https://themoviedb.org/movie/31174","104","2748518","","7.5","1995-12-29","[""UK"","" USA""]","[""English""]","The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting.","11297","0114279","1995","https://image.tmdb.org/t/p/w440_and_h660_face/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg","31174"
"42","Dead Presidents","https://themoviedb.org/movie/11443","119","24147179","10000000","6.8","1995-10-06","[""USA""]","[""English""]","A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.","14749","0112819","1995","https://image.tmdb.org/t/p/w440_and_h660_face/gCqfjRQtBugpmbkBrmGzCLSJo3m.jpg","11443"
"43","Restoration","https://themoviedb.org/movie/35196","117","","19000000","6.7","1996-02-02","[""USA"","" UK""]","[""English"","" Latin""]","The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.","7423","0114272","1995","https://image.tmdb.org/t/p/w440_and_h660_face/wkf0z1GSbVXrGvUpT5ApBNA4VEW.jpg","35196"
"44","Mortal Kombat","https://themoviedb.org/movie/9312","101","122195920","18000000","5.8","1995-08-18","[""USA""]","[""English""]","Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.","79687","0113855","1995","https://image.tmdb.org/t/p/w440_and_h660_face/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg","9312"
"45","To Die For","https://themoviedb.org/movie/577","106","21284514","20000000","6.8","1995-10-06","[""USA"","" UK"","" Canada""]","[""English""]","Suzanne Stone is an aspiring TV personality who will do anything to be in the spotlight, including enlisting three teenagers to kill her husband.","33928","0114681","1995","https://image.tmdb.org/t/p/w440_and_h660_face/aedhsShrlJVhLlwhtlmFJgR4Szs.jpg","577"
"46","How to Make an American Quilt","https://themoviedb.org/movie/11861","109","23574130","10000000","6.2","1995-10-06","[""USA""]","[""English""]","Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.","8258","0113347","1995","https://image.tmdb.org/t/p/w440_and_h660_face/vwYRaERccwXWCYrTzeWRZRarJOo.jpg","11861"
"47","Seven (a.k.a. Se7en)","https://themoviedb.org/movie/807","127","327311859","33000000","8.6","1995-09-22","[""USA""]","[""English""]","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi.","981458","0114369","1995","https://image.tmdb.org/t/p/w440_and_h660_face/6yoghtyTpznpBik8EngEmJskVUO.jpg","807"
"48","Pocahontas","https://themoviedb.org/movie/10530","81","346079773","55000000","6.6","1995-06-23","[""USA""]","[""English"","" Algonquin""]","An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.","113939","0114148","1995","https://image.tmdb.org/t/p/w440_and_h660_face/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg","10530"
"49","When Night Is Falling","https://themoviedb.org/movie/8391","94","","","6.8","1995-11-17","[""Canada""]","[""English""]","An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.","5192","0114916","1995","https://image.tmdb.org/t/p/w440_and_h660_face/f9edMkT6bLXVvZICn47ARnQ1Iu5.jpg","8391"
"50","Usual Suspects, The","https://themoviedb.org/movie/629","106","23341568","6000000","8.6","1995-09-15","[""USA"","" Germany""]","[""English"","" Hungarian"","" Spanish"","" French""]","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup.","711361","0114814","1995","https://image.tmdb.org/t/p/w440_and_h660_face/d2IalvQ6eaEAsLVTFUEHf6roHEk.jpg","629"
"52","Mighty Aphrodite","https://themoviedb.org/movie/11448","95","6700000","15000000","7.1","1995-11-10","[""USA""]","[""English""]","When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a prostitute.","30824","0113819","1995","https://image.tmdb.org/t/p/w440_and_h660_face/m0MZabFBNtMuFn3oNcq45M1Jws3.jpg","11448"
"53","Lamerica","https://themoviedb.org/movie/49133","116","","","7.6","1995-10-04","[""Italy"","" France"","" Switzerland""]","[""Albanian"","" Italian""]","Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...","1714","0110299","1994","https://image.tmdb.org/t/p/w440_and_h660_face/1oeLiGLbjXi32ZPIrzTrYIsKFd5.jpg","49133"
"54","Big Green, The","https://themoviedb.org/movie/26441","100","","","5.4","1995-09-29","[""USA""]","[""English""]","Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions, while building self-esteem, making friends and solving a variety of ...","6671","0112499","1995","https://image.tmdb.org/t/p/w440_and_h660_face/kbJqLMRUoVmNkQ4VgAtDwGis2dJ.jpg","26441"
"55","Georgia","https://themoviedb.org/movie/97406","115","","","6.4","1995-12-08","[""USA"","" France""]","[""English"","" Hebrew""]","Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her ...","2307","0113158","1995","https://image.tmdb.org/t/p/w440_and_h660_face/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg","97406"
"57","Home for the Holidays","https://themoviedb.org/movie/9089","103","17519169","","6.6","1995-11-03","[""USA""]","[""English""]","After losing her job, making out with her soon-to-be former boss and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.","8945","0113321","1995","https://image.tmdb.org/t/p/w440_and_h660_face/a8MslR6deQQVe8JR542XDSwHiPB.jpg","9089"
"58","Postman, The (Postino, Il)","https://themoviedb.org/movie/11010","108","","","7.8","1996-03-22","[""Italy"","" France"","" Belgium""]","[""Italian"","" Spanish""]","Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.","25355","0110877","1994","https://image.tmdb.org/t/p/w440_and_h660_face/zqK1rE4gpDvEn612HeJF4EnoYCG.jpg","11010"
"59","Confessional, The (Confessionnal, Le)","https://themoviedb.org/movie/99040","100","","","7.6","1996-08-16","[""Canada"","" UK"","" France""]","[""French"","" English""]","The year is 1952, in Quebec City. Rachel, 16, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the ...","1347","0112714","1995","https://image.tmdb.org/t/p/w440_and_h660_face/9ApR0PwQdlnvc76NmlbUWkeAK9i.jpg","99040"
"60","Indian in the Cupboard, The","https://themoviedb.org/movie/11359","96","","45000000","5.9","1995-07-14","[""USA""]","[""English""]","On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best ...","20201","0113419","1995","https://image.tmdb.org/t/p/w440_and_h660_face/6jxwjs285L16lO3XAX7FzfQpREb.jpg","11359"
"61","Eye for an Eye","https://themoviedb.org/movie/17182","101","26877589","20000000","6.1","1996-01-12","[""USA""]","[""English"","" French"","" Spanish"","" Korean""]","When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.","9441","0116260","1996","https://image.tmdb.org/t/p/w440_and_h660_face/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg","17182"
"62","Mr. Holland's Opus","https://themoviedb.org/movie/2054","143","106269971","23000000","7.3","1996-01-19","[""USA""]","[""English"","" American Sign Language""]","A frustrated composer finds fulfillment as a high school music teacher.","29633","0113862","1995","https://image.tmdb.org/t/p/w440_and_h660_face/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg","2054"
"63","Don't Be a Menace to South Central While Drinking Your Juice in the Hood","https://themoviedb.org/movie/10607","89","","","6.6","1996-01-12","[""USA""]","[""English"","" Spanish""]","Don't Be a Menace to South Central While Drinking your Juice in the Hood is a parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood, South Central, ...","37036","0116126","1996","https://image.tmdb.org/t/p/w440_and_h660_face/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg","10607"
"64","Two if by Sea","https://themoviedb.org/movie/19760","96","10658278","","5.2","1996-01-12","[""USA""]","[""English""]","Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job, which involves stealing a valuable painting. ...","4448","0118002","1996","https://image.tmdb.org/t/p/w440_and_h660_face/kvQl6sJyplWRQ0BGp0E8kBUQKO8.jpg","19760"
"65","Bio-Dome","https://themoviedb.org/movie/9536","88","","15000000","4.3","1996-01-12","[""USA""]","[""English""]","Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.","21048","0115683","1996","https://image.tmdb.org/t/p/w440_and_h660_face/pjSkGZAvksrbO6tGain8PJ3rfC7.jpg","9536"
"66","Lawnmower Man 2: Beyond Cyberspace","https://themoviedb.org/movie/11525","93","2409225","","2.4","1996-01-12","[""USA""]","[""English""]","Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ...","7798","0116839","1996","https://image.tmdb.org/t/p/w440_and_h660_face/2Zp26DfI6pTqiyHUkL7bMjv28tG.jpg","11525"
"68","French Twist (Gazon maudit)","https://themoviedb.org/movie/4482","104","","","6.4","1996-01-19","[""France""]","[""French"","" Spanish""]","After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.","3674","0113149","1995","https://image.tmdb.org/t/p/w440_and_h660_face/5WhBRgimR7mHiB4oSmXDPXzn81j.jpg","4482"
"69","Friday","https://themoviedb.org/movie/10634","91","28215918","3500000","7.3","1995-04-26","[""USA""]","[""English""]","Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by ten p.m. that same night. In that time, they smoke more weed, get jacked, and they get shot at in a drive-by.","71667","0113118","1995","https://image.tmdb.org/t/p/w440_and_h660_face/kvtBMDc67NShviLR0AyjWklT8VW.jpg","10634"
"70","From Dusk Till Dawn","https://themoviedb.org/movie/755","108","25836616","19000000","7.3","1996-01-19","[""USA""]","[""English"","" Spanish""]","Two criminals and their hostages unknowingly seek temporary refuge in an establishment populated by vampires, with chaotic results.","212165","0116367","1996","https://image.tmdb.org/t/p/w440_and_h660_face/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg","755"
"71","Fair Game","https://themoviedb.org/movie/11859","91","11534477","50000000","4.1","1995-11-03","[""USA""]","[""English"","" Russian""]","Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.","9973","0113010","1995","https://image.tmdb.org/t/p/w440_and_h660_face/sLmQMGJXQI4zakDTqq7J0d9nCU3.jpg","11859"
"72","Kicking and Screaming","https://themoviedb.org/movie/28387","96","718490","","7.1","1995-10-06","[""USA""]","[""English""]","Following graduation, a handful of college students do nothing and talk about it wittily.","6885","0113537","1995","https://image.tmdb.org/t/p/w440_and_h660_face/186brkmaBmopqcM0dPs71tj9BfM.jpg","28387"
"73","Misérables, Les","https://themoviedb.org/movie/48750","175","","","7.5","1995-11-03","[""France""]","[""French"","" German"","" English""]","Henri Fortin is poor and iliterate former boxer. Ziman is rich Jewish lawyer from Paris. During WWII they meet when Fortin agrees to drive Ziman's family to Switzerland. Intrigued by Victor...","3151","0113828","1995","https://image.tmdb.org/t/p/w440_and_h660_face/ct1T56BbeE60CsoFhUB4Qmq8kkf.jpg","48750"
"74","Bed of Roses","https://themoviedb.org/movie/20927","87","19030691","","6.0","1996-01-26","[""USA""]","[""English""]","Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.","6660","0115644","1996","https://image.tmdb.org/t/p/w440_and_h660_face/e0Eho8TETw1RhvX9MH9i19Xf1iM.jpg","20927"
"76","Screamers","https://themoviedb.org/movie/9102","108","5781885","20000000","6.4","1996-01-26","[""Canada"","" USA"","" Japan""]","[""English""]","(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as...","19542","0114367","1995","https://image.tmdb.org/t/p/w440_and_h660_face/5eD94VJwaui14lBozxRQHWhA06X.jpg","9102"
"77","Nico Icon","https://themoviedb.org/movie/124626","67","","","7.3","1995-11-16","[""Germany"","" USA""]","[""English"","" German""]","A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item,...","534","0113973","1995","","124626"
"78","Crossing Guard, The","https://themoviedb.org/movie/27526","111","","","6.4","1995-11-16","[""USA""]","[""English""]","Freddie Gale is a seedy jeweler who has sworn to kill the drunk driver who killed his little girl.","10337","0112744","1995","https://image.tmdb.org/t/p/w440_and_h660_face/otL93Cs0pHAc0pR4CF3yAY436tY.jpg","27526"
"79","Juror, The","https://themoviedb.org/movie/9623","118","22754725","44000000","5.6","1996-02-02","[""USA""]","[""English""]","When Annie Laird is selected as a juror in a big Mafia trial, she is forced by someone known as The Teacher to persuade the other jurors to vote not guilty. He threatens to kill her son...","13707","0116731","1996","https://image.tmdb.org/t/p/w440_and_h660_face/dZ94mKfHmYqwIOd826dF5z5aGnr.jpg","9623"
"80","White Balloon, The (Badkonake sefid)","https://themoviedb.org/movie/46785","85","","","7.8","1995-11-27","[""Iran""]","[""Persian""]","Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.","4509","0112445","1995","https://image.tmdb.org/t/p/w440_and_h660_face/bamJR4MwtQDMdWkjVAPojfwOjY4.jpg","46785"
